0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09
8700 7,211731E-07 0,003764153 0,5670886

8720 7,519708E-07 0,003692955 0,5873215

8740 7,886436E-07 0,003616393 0,6084512

8760 8,266803E-07 0,003537714 0,6304749

8780 8,631117E-07 0,003459543 0,653393

8800 9,009525E-07 0,003384292 0,6772076

8820 9,405685E-07 0,003313929 0,7019231

8840 9,850005E-07 0,003249913 0,7275444

8860 1,026954E-06 0,003193468 0,7540776

8880 1,071112E-06 0,003145099 0,781529

8900 1,120123E-06 0,003105551 0,8099049

8920 1,167262E-06 0,003074139 0,8392116

8940 1,21922E-06 0,003051251 0,8694552

8960 1,269316E-06 0,003035814 0,900641

8980 1,321006E-06 0,003027856 0,9327744

9000 1,374266E-06 0,003025681 0,9658595

9020 1,429132E-06 0,003029436 0,9999006

9040 1,485589E-06 0,003037304 1,034901

9060 1,546729E-06 0,003049076 1,070863

9080 1,609174E-06 0,003063381 1,10779

9100 1,670041E-06 0,003079593 1,145682

9120 1,732748E-06 0,003096998 1,184543

9140 1,797099E-06 0,003114998 1,224372

9160 1,863033E-06 0,003132671 1,26517

9180 1,930512E-06 0,003150195 1,306938

9200 2,002823E-06 0,003166527 1,349676

9220 2,076687E-06 0,003181726 1,393384

9240 2,148765E-06 0,003195524 1,438062

9260 2,222716E-06 0,003207713 1,483709

9280 2,304864E-06 0,003218323 1,530326

9300 2,381998E-06 0,003227293 1,577912

9320 2,461309E-06 0,003234684 1,626466

9340 2,542459E-06 0,003240496 1,675988

9360 2,625127E-06 0,003244966 1,726478

9380 2,709123E-06 0,003248155 1,777934

9400 2,794556E-06 0,003250182 1,830358

9420 2,88131E-06 0,003251195 1,883748

9440 2,972851E-06 0,003251314 1,938105

9460 3,065772E-06 0,003250748 1,993427

9480 3,156734E-06 0,003249615 2,049714

9500 3,249485E-06 0,003248066 2,106967

9520 3,343914E-06 0,003246158 2,165185

9540 3,439649E-06 0,003244102 2,224368

9560 3,536774E-06 0,003241956 2,284515

9580 3,638842E-06 0,003239721 2,345628

9600 3,738696E-06 0,003237814 2,407705

9620 3,843671E-06 0,003235728 2,470746

9640 3,94679E-06 0,00323382 2,534751

9660 4,051226E-06 0,003232062 2,599721

9680 4,156951E-06 0,003230512 2,665655

9700 4,26436E-06 0,003229141 2,732553

9720 4,377118E-06 0,00322789 2,800416

9740 4,494586E-06 0,003226876 2,869242

9760 4,606696E-06 0,003226101 2,939033

9780 4,720553E-06 0,003225505 3,009788

9800 4,83607E-06 0,003225029 3,081507

9820 4,953063E-06 0,00322473 3,15419

9840 5,071644E-06 0,003224552 3,227837

9860 5,195446E-06 0,003224492 3,302448

9880 5,317492E-06 0,003224492 3,378023

